date current wind salinity temperature
2011-07-21 0.28722513 6.939274 35.590744 21.103872
2011-07-22 0.24227542 6.892684 35.595036 21.056116
2011-07-23 0.20932825 7.9468417 35.599873 21.035505
2011-07-24 0.2148617 5.690518 35.603477 21.056772
2011-07-25 0.2489742 3.6604772 35.613358 21.025463
2011-07-26 0.27819407 3.022587 35.61795 21.039999
2011-07-27 0.342375 4.017624 35.613655 21.087965
2011-07-28 0.4027333 8.014577 35.611027 21.066362
2011-07-29 0.45930088 8.522201 35.61356 21.018635
2011-07-30 0.48680827 8.626991 35.619427 20.96472
2011-07-31 0.5202327 8.413973 35.62284 20.935251
2011-08-01 0.5217991 7.1139765 35.62678 20.902641
2011-08-02 0.5115502 7.7907276 35.63141 20.86563
2011-08-03 0.4844521 8.334977 35.637714 20.835224
2011-08-04 0.43488535 9.733192 35.64395 20.799376
2011-08-05 0.35651064 8.595915 35.64884 20.759434
2011-08-06 0.28467634 6.124959 35.65054 20.750996
2011-08-07 0.27531677 2.7727911 35.645164 20.7888
2011-08-08 0.33523983 5.3282056 35.637577 20.803675
2011-08-09 0.3536036 5.226074 35.643448 20.76344
2011-08-10 0.4031612 5.0396843 35.65331 20.763508
2011-08-11 0.4548382 9.370099 35.65767 20.763504
2011-08-12 0.46504176 6.5533967 35.657562 20.761148
2011-08-13 0.47038165 5.8792324 35.66216 20.754786
2011-08-14 0.47057092 5.836994 35.66584 20.744995
2011-08-15 0.47025025 6.6619077 35.663555 20.75206
2011-08-16 0.44504723 4.925614 35.65939 20.760084
2011-08-17 0.40818697 4.3065543 35.655735 20.745625
2011-08-18 0.3587686 4.8888116 35.655823 20.722141
2011-08-19 0.2973365 4.671778 35.661255 20.730774
2011-08-20 0.23334762 5.779682 35.66895 20.767418
2011-08-21 0.29888394 11.755925 35.672394 20.733116
2011-08-22 0.4814624 14.360524 35.669483 20.670471
2011-08-23 0.44898617 11.461421 35.657463 20.661388
2011-08-24 0.49336648 13.239966 35.67017 20.681808
2011-08-25 0.45324847 11.168388 35.68032 20.873074
2011-08-26 0.44260424 7.083 35.67363 21.019176
2011-08-27 0.49560267 6.392018 35.675556 21.012236
2011-08-28 0.54561853 3.037957 35.671818 20.978996
2011-08-29 0.5610572 4.0678873 35.67157 20.929543
2011-08-30 0.5593366 4.9461107 35.67433 20.915083
2011-08-31 0.5469489 5.491147 35.67633 20.918451
2011-09-01 0.50419617 7.1147785 35.68049 20.931538
2011-09-02 0.4525901 8.255703 35.682217 20.9509
2011-09-03 0.3969099 10.963075 35.68205 20.944674
2011-09-04 0.30852732 9.3186 35.682453 20.939663
2011-09-05 0.28420112 9.358198 35.685745 20.927832
2011-09-06 0.33060786 8.324188 35.683872 20.929516
2011-09-07 0.35346892 7.255302 35.68477 20.964931
2011-09-08 0.39525735 5.208739 35.68932 21.008839
2011-09-09 0.4319905 7.874305 35.69146 21.019604
2011-09-10 0.47763467 9.183031 35.69561 20.92841
2011-09-11 0.47593337 5.5905123 35.69923 20.896513
2011-09-12 0.46048304 5.350547 35.706974 20.938454
2011-09-13 0.45993835 7.361864 35.716454 20.9697
2011-09-14 0.44585928 7.011247 35.71868 21.010813
2011-09-15 0.39973676 2.5173268 35.72174 21.07061
2011-09-16 0.35520536 1.960142 35.725853 21.130241
2011-09-17 0.30318815 1.994159 35.728905 21.18148
2011-09-18 0.24062058 1.7940314 35.72996 21.22182
2011-09-19 0.17632581 3.893422 35.735317 21.268206
2011-09-20 0.16301525 3.9985516 35.7397 21.322763
2011-09-21 0.19718158 3.3405695 35.744873 21.392502
2011-09-22 0.2769987 7.981458 35.74971 21.4028
2011-09-23 0.3627613 5.7921457 35.74862 21.393871
2011-09-24 0.43826014 3.4629185 35.757072 21.460619
2011-09-25 0.5102935 5.03509 35.7658 21.517912
2011-09-26 0.54803604 6.872862 35.774567 21.565125
2011-09-27 0.57709026 7.1027904 35.78142 21.623747
2011-09-28 0.57069993 5.0768642 35.79085 21.693804
2011-09-29 0.5492996 7.237944 35.800564 21.71745
2011-09-30 0.5196729 4.9236555 35.80414 21.702492
2011-10-01 0.44231167 7.9719176 35.80204 21.659163
2011-10-02 0.390236 7.9474373 35.79844 21.48436
2011-10-03 0.3225396 7.6133437 35.789352 21.351902
2011-10-04 0.32141024 7.064062 35.80233 21.463507
